,,,,,,,,,,,,Normalized abundance,,,,,,,,,,,,,,,
,,,,,,,,,,,,Y101,,,Y102,,,Y201,,,Y202,,,Y101.5,,,Tags
Accession,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Highest mean condition,Lowest mean condition,Mass,Description,Y101_A,Y101_B,Y101_C,Y102_A,Y102_B,Y102_C,Y201_A,Y201_B,Y201_C,Y202_A,Y202_B,Y202_C,Y1015_A,Y1015_B,Y1015_C,>1pep
1::Q09666,165,164,5446.29,0.102963849,0.073520115,2.061682192,0.510184976,Y101.5,Y201,629213,Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2,21982705.98,25146180.39,65047857.41,34316692.8,39500304.99,43288049.99,20869729.49,31498995.16,33700133.21,31374369.69,40980909.86,36682290.62,58050910.51,56960805.02,62434916.03,x
1::Q15149;1::P58107;1::Q9UPN3,131,129,3985.96,0.306159308,0.140314102,1.590364032,0.288808922,Y101.5,Y201,533462,Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3,10119889.19,14579824.55,23186278.59,19747176.1,20460475.78,23451843.8,14722297.19,23031006.25,9306724.655,16855109.41,23601788.01,14296457.09,27752700.73,28949585.31,18140290,x
1::P21333,131,117,5746.41,0.24919344,0.123991335,1.569186828,0.329548201,Y101.5,Y101,283301,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,122881801,145603826.6,175575434.8,219730430.5,136203236.7,199601108.5,160573545.9,203489056.4,83756969.81,201553167.8,225022194.1,158376202,254528660.2,263936941.2,178349168.5,x
1::P12111,99,98,3621.84,0.041016161,0.041833524,8.44556114,0.689165221,Y101,Y101.5,345167,Collagen alpha-3(VI) chain OS=Homo sapiens GN=COL6A3 PE=1 SV=5,127858052.4,162511291.9,51445774.37,54113486.95,27339009.84,9866520.786,103406941.1,109488774,25158847.03,58278389.43,15871878.86,7666542.066,10880221.7,8110635.604,21481896.72,x
1::P35555;2::P98133,104,98,4534.29,0.053431639,0.049290351,2.138239742,0.640323729,Y202,Y201,332664,Fibrillin-1 OS=Homo sapiens GN=FBN1 PE=1 SV=3,141012391.7,135131420.9,88799439.9,113580591.9,89997665.93,175745726.3,112389510.3,67363823.45,65930146.18,230800252.2,152906700.6,141623227.9,102612066.5,106105753.7,105128188.5,x
1::P98160,98,97,3881.24,0.307151827,0.140314102,2.224930844,0.288175726,Y201,Y101.5,479253,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens GN=HSPG2 PE=1 SV=4,22253804.79,29921254.45,45394169.74,13826446.68,23422111.75,62477819.39,53162918.06,49344528.02,53926235.34,23232932.23,42175974.28,84212481.25,11849112.99,10482152,47978192.86,x
2::P02769,93,84,5292.95,0.889584133,0.254460813,4.218260353,0.088485703,Y201,Y101,71244,Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4,4263794951,2828199836,7669424560,5152714934,5153255328,10585219900,1676831500,8237543476,52353135014,2669463345,4891716073,13391819034,4285121170,2520707859,8957546729,x
1::O75369,88,75,3047.68,0.000457231,0.002977832,4.067474361,0.998705231,Y101.5,Y201,280157,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2,13900542.88,16870486.19,16557120.07,20094733.51,15127482.9,19965449.01,8282248.003,12130349.01,7100938.389,29459276.14,30136780.42,15932379.98,41871139.32,42099758.53,27939701.96,x
1::Q99715;2::P25508,66,65,2204.37,1.75E-05,0.000437355,11.56906067,0.999999966,Y202,Y101.5,334138,Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=2,6157324.697,9284735.412,9295143.649,23159603.51,36671345.21,62374463.86,16598292.47,12130308.42,15792270.65,35173467.31,50506621.31,51699693.28,3655226.602,2432884.795,5786645.405,x
2::Q7SIH1,71,64,3014.56,0.153376623,0.092776339,4.971590124,0.428265433,Y201,Y101.5,168953,Alpha-2-macroglobulin OS=Bos taurus GN=A2M PE=1 SV=2,91110143.11,72822790.86,132802501.9,116989544.4,76522606.2,155303758.8,76063580.51,180379939.6,517580137.6,87387789.81,109384167.3,130367584.6,66948755.6,10341580.39,78399018.62,x
1::P08670;1::P07196;1::P07197;1::P41219;1::Q9NSB2;2::P48616,70,63,3737.57,0.086018739,0.065508006,2.424186914,0.546749245,Y101.5,Y202,53676,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,210583524.1,389110989.7,629728989.7,282256640.8,383397318.4,487109877.3,243802235.1,584193280.5,298358200.7,236956100.6,488669751.3,272714700.6,935665832,710642705.4,773855565.5,x
1::Q92626,62,62,2357.45,0.006992671,0.013900793,2.682859397,0.921347526,Y102,Y101,167793,Peroxidasin homolog OS=Homo sapiens GN=PXDN PE=1 SV=2,14741264.69,22153429.96,17943790.07,34007900.19,36410790.71,76705253.13,20868321.92,12968341.5,23898930.32,42788108.44,37069978.72,58083266.56,24227172.62,18223113.91,31714202.7,x
1::P08123,121,61,6917.06,1.83E-05,0.000437355,7.33914802,0.999999958,Y201,Y101.5,129749,Collagen alpha-2(I) chain OS=Homo sapiens GN=COL1A2 PE=1 SV=7,464470360.2,529158590.4,560212524.1,832150928.7,745067836,710946804.7,1179287022,600471198.7,823693682.4,871158421.1,832054714.5,492082822.3,88744896.17,94883256.67,171106742.2,x
1::P02751,125,57,6089.83,0.003978145,0.010593989,2.937691034,0.957553366,Y201,Y101.5,266052,Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=4,262485042.3,560431299.4,432810535.1,315673884.7,200155389.9,353475277,657430457.5,766873555.2,857759378.3,429205457.6,275942969.3,309905361.4,236862953.8,215809744.8,324149426.2,x
1::Q15063,58,56,2303.83,1.47E-07,3.11E-05,149.8424214,1,Y201,Y101.5,93883,Periostin OS=Homo sapiens GN=POSTN PE=1 SV=2,13860260.5,20139801.03,7391050.825,6100672.31,3462444.517,4673562.041,229381499.5,178662509.4,522952652.4,3631107.352,5239808.348,4088484.784,2074263.455,2247624.446,1891283.593,x
1::Q9Y490;1::Q9Y4G6,58,55,2116.09,0.082759296,0.064253134,1.815394953,0.554539446,Y102,Y101,271766,Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3,6614294.814,5497724.528,10474280.42,11075206.76,10903305.71,19024542.1,5776704.809,8813028.328,10136380.62,6798139.25,8936664.028,12547142.63,14992692.53,11364957.58,13261471.98,x
1::P12109,57,54,2588.76,0.000613344,0.003506675,4.632481673,0.997644747,Y201,Y101.5,109602,Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1 PE=1 SV=3,320496409.6,292579695.6,249099155.8,187819510.6,141070709.8,123526767.2,474148312.8,370325459.1,324276238.3,231212494.6,125463665.1,74373526.65,69991378.78,84269901.71,98033297.81,x
